customer_id,gender,senior_citizen,partner,dependents,tenure_months,internet_service,contract,monthly_charges,total_charges,payment_method,paperless_billing,tech_support,device_protection,churn
CUST100042,Female,0,No,Yes,2,Fiber optic,Month-to-month,74.84,87.46,Credit card,Yes,Yes,No internet,No
CUST100043,Female,0,Yes,No,60,Fiber optic,One year,64.23,3874.36,Bank transfer,Yes,No internet,No,No
CUST100044,Male,0,No,Yes,71,DSL,Month-to-month,84.86,5967.11,Mailed check,Yes,Yes,No,No
CUST100045,Female,0,Yes,No,44,DSL,One year,86.74,3782.05,Electronic check,No,Yes,No internet,No
CUST100046,Male,0,Yes,No,8,Fiber optic,Month-to-month,48.85,331.18,Bank transfer,Yes,Yes,No,Yes
CUST100047,Female,0,No,Yes,47,No,One year,74.53,3360.69,Credit card,No,No internet,Yes,No
CUST100048,Male,1,No,No,35,Fiber optic,Two year,44.94,1379.6,Credit card,Yes,No,No internet,No
CUST100049,Female,0,No,Yes,36,DSL,One year,91.71,3187.66,Credit card,No,No,No,No
CUST100050,Female,1,Yes,No,50,Fiber optic,Two year,76.41,3911.79,Credit card,Yes,No,No,No
CUST100051,Male,0,Yes,Yes,4,Fiber optic,Two year,74.06,302.25,Bank transfer,Yes,No internet,Yes,No
CUST100052,Female,1,Yes,No,2,Fiber optic,Month-to-month,88.48,138.55,Credit card,No,No,Yes,No
CUST100053,Female,0,Yes,No,6,Fiber optic,One year,65.11,307.49,Mailed check,No,No,No,No
CUST100054,Female,0,No,Yes,54,DSL,Two year,94.85,5222.79,Bank transfer,Yes,No internet,No,No
CUST100055,Female,1,Yes,Yes,4,DSL,Month-to-month,48.29,141.83,Mailed check,Yes,No,No,No
CUST100056,Male,0,Yes,No,54,Fiber optic,Month-to-month,107.3,5726.59,Electronic check,Yes,No,Yes,Yes
CUST100057,Male,0,No,No,63,DSL,Two year,58.23,3517.14,Bank transfer,Yes,No internet,No,No
CUST100058,Male,0,No,No,18,Fiber optic,One year,29.6,354.32,Mailed check,No,No,No,No
CUST100059,Male,0,Yes,No,44,DSL,Month-to-month,63.79,2843.67,Electronic check,Yes,No,No,No
CUST100060,Male,1,Yes,Yes,34,Fiber optic,Month-to-month,60.95,2207.21,Electronic check,Yes,Yes,No internet,No
CUST100061,Female,1,Yes,No,62,Fiber optic,One year,63.6,3966.91,Credit card,Yes,No,Yes,No
CUST100062,Male,0,Yes,Yes,14,Fiber optic,Month-to-month,77.79,1111.71,Bank transfer,Yes,No,No internet,No
CUST100063,Male,0,No,No,48,DSL,One year,99.45,4917.31,Bank transfer,No,Yes,No,No
CUST100064,Male,1,Yes,No,15,DSL,One year,67.21,1048.22,Mailed check,No,No internet,Yes,No
CUST100065,Male,1,No,No,72,Fiber optic,One year,54.71,3938.5,Mailed check,Yes,Yes,Yes,Yes
CUST100066,Male,0,Yes,No,62,Fiber optic,Month-to-month,43.84,2762.84,Electronic check,Yes,No,No,Yes
CUST100067,Male,0,No,No,40,Fiber optic,One year,60.3,2484.23,Mailed check,Yes,No,No internet,No
CUST100068,Female,0,Yes,No,53,DSL,One year,24.8,1355.16,Credit card,No,No,No internet,No
CUST100069,Female,1,No,Yes,24,DSL,One year,53.87,1254.03,Mailed check,Yes,Yes,No,Yes
CUST100070,Male,0,No,No,26,Fiber optic,Month-to-month,103.1,2713.12,Mailed check,Yes,No,Yes,Yes
CUST100071,Male,0,No,Yes,60,Fiber optic,Month-to-month,51.42,3029.76,Electronic check,Yes,Yes,Yes,Yes
CUST100072,Male,0,No,Yes,41,DSL,Two year,87.72,3594.04,Mailed check,No,Yes,Yes,No
CUST100073,Female,1,No,No,29,Fiber optic,Month-to-month,41.34,1230.64,Electronic check,No,Yes,Yes,Yes
CUST100074,Male,1,Yes,Yes,15,Fiber optic,Month-to-month,116.28,1891.3,Bank transfer,Yes,Yes,No,No
CUST100075,Female,0,No,No,45,Fiber optic,Month-to-month,117.94,5342.39,Mailed check,Yes,Yes,No,No
CUST100076,Female,0,No,No,65,Fiber optic,Two year,86.78,5642.01,Credit card,No,No,No,No
CUST100077,Male,1,No,No,71,DSL,Month-to-month,121.78,8614.34,Bank transfer,Yes,No internet,Yes,No
CUST100078,Female,0,No,Yes,9,DSL,Month-to-month,80.89,,Electronic check,Yes,No,Yes,Yes
CUST100079,Female,0,Yes,Yes,1,Fiber optic,Month-to-month,91.21,91.21,Mailed check,No,No,No,Yes
CUST100080,Male,0,Yes,No,8,DSL,One year,103.55,831.62,Bank transfer,No,No,No internet,No
CUST100081,Female,0,No,No,63,Fiber optic,Month-to-month,76.49,4892.14,Electronic check,No,No,No internet,Yes
CUST100082,Female,0,No,No,11,DSL,Month-to-month,33.19,263.14,Bank transfer,Yes,No,Yes,Yes
CUST100083,Male,0,Yes,No,8,DSL,Month-to-month,91.72,795.05,Credit card,Yes,No,No,Yes
CUST100084,Male,0,Yes,No,35,DSL,Two year,60.2,2061.78,Electronic check,Yes,Yes,No,No
CUST100085,Female,1,No,Yes,35,Fiber optic,Month-to-month,62.06,2116.02,Bank transfer,No,Yes,No,Yes
CUST100086,Male,0,No,No,33,Fiber optic,Month-to-month,79.45,2662.71,Credit card,No,No,Yes,No
CUST100087,Male,0,No,No,5,Fiber optic,Month-to-month,86.16,400.79,Mailed check,No,No,No,Yes
CUST100088,Male,0,No,No,41,DSL,Two year,75.75,3143.86,Bank transfer,No,No internet,Yes,No
CUST100089,Male,0,No,No,28,Fiber optic,One year,87.89,2491.97,Electronic check,No,Yes,No,Yes
CUST100090,Female,1,No,No,7,No,Two year,54.33,444.77,Electronic check,Yes,Yes,No,No
CUST100091,Male,0,No,No,72,No,Two year,70.93,5212.43,Bank transfer,Yes,No,No,No
CUST100092,Male,0,Yes,Yes,12,DSL,Month-to-month,93.23,981.16,Bank transfer,Yes,No internet,No,No
CUST100093,Male,0,Yes,Yes,34,No,One year,116.32,3971.24,Credit card,Yes,No,No,No
CUST100094,Male,0,Yes,No,33,Fiber optic,Month-to-month,125.16,4071.1,Electronic check,Yes,No,Yes,Yes
CUST100095,Female,0,Yes,No,48,Fiber optic,One year,82.82,4008.8,Mailed check,No,Yes,No,No
CUST100096,Female,0,No,No,23,Fiber optic,Month-to-month,93.0,2026.56,Electronic check,Yes,No,No internet,Yes
CUST100097,Female,0,No,Yes,62,DSL,Month-to-month,121.54,7539.56,Electronic check,No,No,Yes,Yes
CUST100098,Female,0,No,No,37,Fiber optic,Two year,55.23,1892.94,Mailed check,No,No internet,No,No
CUST100099,Female,0,Yes,Yes,44,No,Month-to-month,87.74,3864.04,Mailed check,Yes,Yes,Yes,No
CUST100100,Male,0,Yes,Yes,35,Fiber optic,Two year,91.21,3192.8,Electronic check,Yes,No,No,No
CUST100101,Female,0,Yes,No,65,Fiber optic,Month-to-month,108.2,6979.2,Electronic check,Yes,No,Yes,No
CUST100102,Male,0,No,Yes,47,DSL,Month-to-month,43.57,2016.28,Mailed check,Yes,Yes,No,No
CUST100103,Female,1,No,Yes,3,Fiber optic,Two year,48.51,115.94,Credit card,Yes,No,No,No
CUST100104,Male,0,Yes,No,1,Fiber optic,One year,72.53,72.53,Credit card,No,No,Yes,No
CUST100105,Female,0,Yes,No,5,DSL,One year,81.44,303.48,Electronic check,No,Yes,No,No
CUST100106,Male,1,No,Yes,14,Fiber optic,Month-to-month,100.07,1416.03,Credit card,Yes,No,No,Yes
CUST100107,Female,0,Yes,No,27,Fiber optic,Month-to-month,84.94,2378.83,Bank transfer,Yes,Yes,No,No
CUST100108,Male,0,No,No,9,Fiber optic,One year,68.21,676.83,Credit card,No,No internet,Yes,No
CUST100109,Female,1,Yes,No,15,DSL,One year,82.41,1073.83,Mailed check,Yes,No,No,No
CUST100110,Male,0,No,No,42,No,Month-to-month,79.53,3439.46,Mailed check,Yes,No,Yes,Yes
CUST100111,Female,0,Yes,Yes,51,DSL,Two year,115.63,6001.21,Credit card,No,Yes,Yes,No
CUST100112,Male,0,Yes,No,63,Fiber optic,One year,76.14,4737.06,Electronic check,Yes,No internet,No,No
CUST100113,Male,0,Yes,Yes,52,Fiber optic,Two year,62.42,3187.62,Credit card,No,No,No,No
CUST100114,Female,0,Yes,No,4,Fiber optic,One year,83.24,291.55,Credit card,Yes,Yes,Yes,No
CUST100115,Male,0,No,Yes,23,No,One year,76.96,1796.62,Credit card,Yes,No,Yes,No
CUST100116,Female,0,No,No,15,Fiber optic,Month-to-month,32.73,466.67,Electronic check,Yes,Yes,Yes,No
CUST100117,Male,0,No,No,43,Fiber optic,Month-to-month,71.61,3110.36,Electronic check,No,No internet,No,No
CUST100118,Male,0,No,No,29,DSL,Two year,69.48,1910.74,Electronic check,No,No internet,No,No
CUST100119,Female,1,No,Yes,36,No,Month-to-month,58.4,2016.66,Credit card,Yes,No internet,No,Yes
CUST100120,Male,0,No,No,13,Fiber optic,Month-to-month,97.89,1202.52,Electronic check,No,No,No,Yes
CUST100121,Male,0,Yes,Yes,32,Fiber optic,Month-to-month,52.36,1610.17,Bank transfer,Yes,No,No internet,No
CUST100122,Male,0,No,No,71,Fiber optic,Month-to-month,83.39,5954.88,Mailed check,Yes,Yes,No internet,Yes
CUST100123,Female,0,No,No,59,Fiber optic,Two year,68.3,4049.36,Mailed check,Yes,Yes,No internet,No
CUST100124,Female,0,Yes,Yes,28,DSL,Two year,74.69,2143.99,Electronic check,Yes,Yes,No,No
CUST100125,Male,0,Yes,No,66,DSL,Month-to-month,82.29,5517.67,Mailed check,Yes,No,Yes,No
CUST100126,Female,0,Yes,No,42,DSL,Month-to-month,39.31,1682.57,Credit card,Yes,No internet,Yes,No
CUST100127,Female,1,Yes,No,45,Fiber optic,One year,76.79,3312.97,Electronic check,No,No internet,No,No
CUST100128,Female,0,No,No,62,Fiber optic,One year,129.22,7978.21,Credit card,No,Yes,Yes,Yes
CUST100129,Male,0,No,Yes,57,Fiber optic,Two year,33.08,1862.93,Bank transfer,No,No,Yes,No
CUST100130,Female,0,Yes,No,6,Fiber optic,One year,70.56,443.99,Bank transfer,Yes,No,Yes,No
CUST100131,Male,0,No,Yes,28,DSL,Month-to-month,100.08,2726.76,Bank transfer,No,No,No,No
CUST100132,Female,1,Yes,Yes,28,Fiber optic,Month-to-month,79.54,2345.52,Electronic check,Yes,No,No,Yes
CUST100133,Male,0,No,No,44,Fiber optic,Two year,89.2,3892.69,Mailed check,No,No,Yes,No
CUST100134,Male,1,Yes,No,30,Fiber optic,One year,20.0,573.54,Credit card,No,No internet,No,No
CUST100135,Male,0,Yes,Yes,62,Fiber optic,One year,86.96,5375.87,Electronic check,No,No,No internet,No
CUST100136,Male,0,Yes,Yes,62,Fiber optic,Month-to-month,52.96,3242.28,Mailed check,Yes,No,No,No
CUST100137,Female,0,No,No,1,DSL,One year,79.75,79.75,Electronic check,Yes,Yes,No,Yes
CUST100138,Female,0,Yes,No,27,Fiber optic,One year,71.26,2023.31,Bank transfer,No,Yes,Yes,No
CUST100139,Female,0,Yes,No,62,DSL,Month-to-month,128.96,7944.74,Mailed check,Yes,No,Yes,No
CUST100140,Female,1,No,No,3,Fiber optic,Month-to-month,85.67,307.4,Mailed check,No,No,No,No
CUST100141,Female,0,Yes,Yes,70,Fiber optic,Month-to-month,69.18,4808.57,Electronic check,Yes,No internet,No,No
CUST100142,Male,1,No,No,72,No,Month-to-month,34.26,2416.39,Credit card,Yes,No,No internet,No
CUST100143,Male,1,No,No,27,Fiber optic,Month-to-month,75.03,1926.21,Electronic check,No,No,No,No
CUST100144,Female,0,No,Yes,9,DSL,Month-to-month,92.58,690.7,Bank transfer,Yes,No,No,No
CUST100145,Female,1,Yes,Yes,62,Fiber optic,One year,69.99,4303.75,Bank transfer,Yes,Yes,No,No
CUST100146,Female,0,No,Yes,37,DSL,Month-to-month,59.36,2157.3,Credit card,Yes,No,Yes,No
CUST100147,Male,0,Yes,No,51,DSL,Month-to-month,57.69,3057.09,Electronic check,No,No,Yes,No
CUST100148,Male,0,Yes,No,44,No,Two year,85.38,3762.46,Bank transfer,Yes,Yes,No,No
CUST100149,Male,0,Yes,No,24,DSL,One year,90.98,2274.84,Mailed check,Yes,Yes,No,No
CUST100150,Female,1,No,Yes,59,DSL,One year,106.03,6135.62,Mailed check,No,No,No internet,No
CUST100151,Male,0,No,Yes,32,Fiber optic,Month-to-month,47.13,1512.31,Bank transfer,Yes,Yes,No,No
CUST100152,Female,0,No,Yes,52,DSL,One year,85.15,4471.86,Credit card,Yes,No internet,No internet,No
CUST100153,Female,0,No,Yes,62,DSL,Month-to-month,68.96,4284.5,Bank transfer,Yes,No,Yes,No
CUST100154,Male,0,Yes,No,58,Fiber optic,Two year,69.69,4054.03,Credit card,Yes,Yes,Yes,No
CUST100155,Female,0,Yes,No,52,Fiber optic,Month-to-month,82.05,4246.64,Electronic check,Yes,Yes,No,Yes
CUST100156,Female,0,No,No,12,DSL,One year,82.19,890.73,Credit card,No,No internet,No,No
CUST100157,Male,0,No,Yes,39,DSL,Month-to-month,85.22,3214.26,Electronic check,No,No,Yes,No
CUST100158,Male,0,Yes,No,2,Fiber optic,One year,45.56,147.65,Bank transfer,Yes,No,No,No
CUST100159,Female,0,No,No,3,No,Month-to-month,53.25,106.9,Bank transfer,Yes,Yes,No,No
CUST100160,Female,0,Yes,No,56,Fiber optic,Month-to-month,109.15,6078.29,Mailed check,Yes,No internet,No,Yes
CUST100161,Female,0,No,No,59,Fiber optic,Month-to-month,66.49,3870.04,Electronic check,Yes,No,No,No
CUST100162,Female,1,Yes,Yes,2,DSL,One year,79.65,87.83,Mailed check,No,No,No,No
CUST100163,Female,0,Yes,No,2,Fiber optic,Two year,98.37,98.37,Electronic check,Yes,No internet,No,No
CUST100164,Female,0,Yes,Yes,54,DSL,Two year,83.59,4636.74,Mailed check,No,Yes,No internet,No
CUST100165,Female,0,No,No,1,Fiber optic,Month-to-month,85.66,85.66,Electronic check,Yes,No,No,No
CUST100166,Female,0,Yes,No,19,Fiber optic,Month-to-month,94.36,1847.87,Bank transfer,Yes,Yes,Yes,Yes
CUST100167,Female,0,Yes,No,2,Fiber optic,Two year,20.0,127.11,Electronic check,Yes,No,No,No
CUST100168,Male,1,No,Yes,53,No,Month-to-month,59.75,3178.07,Electronic check,Yes,Yes,No,No
CUST100169,Female,0,No,No,44,Fiber optic,One year,83.72,3669.68,Electronic check,No,No internet,Yes,Yes
CUST100170,Male,1,Yes,No,32,Fiber optic,Two year,106.69,3432.71,Mailed check,Yes,No,Yes,No
CUST100171,Female,1,No,No,70,Fiber optic,Two year,73.65,5123.57,Credit card,Yes,No,Yes,No
CUST100172,Male,1,No,No,32,Fiber optic,Month-to-month,50.88,1706.77,Credit card,Yes,No internet,Yes,Yes
CUST100173,Male,0,No,No,68,Fiber optic,Month-to-month,51.55,3594.96,Electronic check,No,No internet,No,Yes
CUST100174,Female,1,Yes,No,55,Fiber optic,Month-to-month,94.1,5218.89,Bank transfer,No,No,No,No
CUST100175,Male,0,Yes,Yes,56,DSL,One year,66.56,3595.3,Bank transfer,Yes,No,Yes,No
CUST100176,Male,0,Yes,Yes,17,Fiber optic,Month-to-month,71.82,1274.95,Mailed check,No,Yes,No,No
CUST100177,Male,0,Yes,No,38,DSL,Month-to-month,87.38,3423.12,Bank transfer,Yes,Yes,No,No
CUST100178,Male,0,Yes,Yes,24,DSL,Month-to-month,20.0,528.66,Electronic check,No,No,Yes,No
CUST100179,Female,0,Yes,Yes,69,Fiber optic,Month-to-month,122.01,8497.5,Mailed check,No,Yes,No,Yes
CUST100180,Male,0,Yes,Yes,70,Fiber optic,One year,53.72,3702.05,Mailed check,Yes,No,No,No
CUST100181,Female,1,Yes,No,11,DSL,One year,78.05,820.62,Electronic check,Yes,Yes,No internet,Yes
CUST100182,Male,0,No,No,16,DSL,Month-to-month,29.38,574.91,Bank transfer,No,No,Yes,No
CUST100183,Male,0,Yes,Yes,59,Fiber optic,Month-to-month,61.44,3678.22,Mailed check,Yes,No,No,No
CUST100184,Female,0,Yes,Yes,70,No,Two year,103.12,7198.62,Electronic check,No,Yes,No,No
CUST100185,Male,1,No,No,3,Fiber optic,Month-to-month,24.1,50.55,Mailed check,Yes,Yes,No,No
CUST100186,Female,0,No,No,20,Fiber optic,One year,100.16,2004.75,Credit card,Yes,No,No internet,Yes
CUST100187,Female,0,Yes,No,59,Fiber optic,Two year,65.16,3820.59,Credit card,No,No,No,No
CUST100188,Female,0,No,No,36,No,Month-to-month,84.18,3030.93,Bank transfer,Yes,No,No,No
CUST100189,Male,0,No,No,19,DSL,One year,88.44,1931.82,Mailed check,Yes,No,No,Yes
CUST100190,Male,0,No,No,67,DSL,Two year,83.04,5507.38,Bank transfer,Yes,Yes,No internet,No
CUST100191,Female,0,No,No,19,Fiber optic,Month-to-month,50.38,813.73,Mailed check,Yes,Yes,No internet,No
CUST100192,Female,0,Yes,No,20,DSL,Month-to-month,62.89,1204.79,Electronic check,Yes,Yes,No internet,Yes
CUST100193,Male,0,No,No,71,Fiber optic,Month-to-month,35.46,2562.01,Mailed check,No,No,Yes,No
CUST100194,Male,1,No,No,52,DSL,Month-to-month,84.29,4431.23,Mailed check,No,No,No,Yes
CUST100195,Female,0,No,No,33,Fiber optic,Two year,114.55,3694.09,Bank transfer,No,Yes,No,No
CUST100196,Male,0,Yes,No,40,Fiber optic,Two year,26.39,1025.47,Credit card,No,,No,No
CUST100197,Female,0,Yes,No,39,Fiber optic,One year,52.96,2134.7,Credit card,No,No,Yes,No
CUST100198,Male,0,Yes,No,1,No,Month-to-month,67.46,67.46,Electronic check,No,No internet,No,No
CUST100199,Female,1,Yes,No,11,Fiber optic,Month-to-month,76.33,757.7,Electronic check,No,No,No,No
CUST100200,Male,0,No,No,57,Fiber optic,One year,93.98,5291.76,Electronic check,Yes,No,No,No
CUST100201,Male,0,Yes,No,50,Fiber optic,Month-to-month,68.2,3522.64,Bank transfer,Yes,No,No,No
CUST100202,Male,0,Yes,No,23,No,One year,64.1,1438.01,Bank transfer,Yes,No internet,No,No
CUST100203,Male,0,Yes,Yes,31,No,Month-to-month,99.58,3091.19,Credit card,No,No internet,No,No
CUST100204,Female,0,No,No,42,DSL,One year,88.55,3591.2,Mailed check,Yes,No,No,No
CUST100205,Male,1,No,Yes,7,Fiber optic,One year,85.47,579.33,Credit card,Yes,No,No,No
CUST100206,Female,1,Yes,No,16,Fiber optic,Month-to-month,74.81,1422.88,Bank transfer,Yes,No,Yes,Yes
CUST100207,Female,0,No,Yes,60,No,Month-to-month,96.58,5937.95,Credit card,No,No,No,No
CUST100208,Female,0,No,No,2,Fiber optic,Month-to-month,55.59,131.52,Bank transfer,No,No,Yes,No
CUST100209,Male,0,Yes,No,1,Fiber optic,Month-to-month,52.18,181.39,Bank transfer,Yes,Yes,Yes,Yes
CUST100210,Female,0,No,No,48,Fiber optic,One year,90.65,4399.48,Bank transfer,No,No internet,No,No
CUST100211,Female,0,Yes,Yes,12,No,One year,31.37,562.51,Bank transfer,No,No,Yes,No
CUST100212,Female,0,No,No,69,Fiber optic,One year,74.3,5180.06,Mailed check,Yes,No,No internet,No
CUST100213,Female,0,Yes,Yes,37,DSL,Two year,64.09,2478.53,Electronic check,Yes,No,No,No
CUST100214,Female,1,No,No,32,DSL,Month-to-month,36.86,1010.5,Electronic check,Yes,No,No,No
CUST100215,Male,0,Yes,Yes,9,Fiber optic,Month-to-month,48.72,469.37,Mailed check,Yes,Yes,Yes,No
CUST100216,Male,0,No,Yes,19,Fiber optic,Month-to-month,69.28,1267.26,Bank transfer,No,No,Yes,No
CUST100217,Male,0,Yes,Yes,48,No,One year,97.85,4741.68,Electronic check,No,No,No,No
CUST100218,Male,0,Yes,Yes,3,No,Month-to-month,55.68,208.85,Electronic check,No,No,No internet,No
CUST100219,Male,0,No,No,20,DSL,Two year,102.33,2157.3,Electronic check,Yes,No internet,Yes,No
CUST100220,Male,0,Yes,No,24,DSL,Month-to-month,73.58,1849.5,Bank transfer,No,Yes,No,No
CUST100221,Female,0,Yes,No,54,Fiber optic,Two year,104.76,5544.29,Electronic check,Yes,No,Yes,No
CUST100222,Female,0,No,No,33,No,Two year,56.89,1729.31,Electronic check,Yes,Yes,No,No
CUST100223,Female,0,No,No,24,Fiber optic,Month-to-month,70.78,1682.31,Electronic check,Yes,No internet,No,Yes
CUST100224,Male,1,No,No,72,DSL,Month-to-month,81.21,5907.19,Electronic check,No,Yes,Yes,No
CUST100225,Female,0,No,Yes,36,No,One year,67.51,2481.09,Credit card,No,No,No,Yes
CUST100226,Female,0,Yes,No,38,DSL,Month-to-month,95.83,3646.91,Electronic check,Yes,Yes,No internet,Yes
CUST100227,Male,0,No,No,25,DSL,Month-to-month,20.0,549.13,Bank transfer,No,No,No,No
CUST100228,Male,0,Yes,No,18,DSL,One year,132.56,2451.87,Bank transfer,Yes,No internet,Yes,No
CUST100229,Male,0,No,Yes,66,Fiber optic,Month-to-month,93.44,6172.5,Credit card,Yes,Yes,Yes,No
CUST100230,Male,1,No,No,54,DSL,One year,67.66,3703.37,Electronic check,Yes,No,No internet,No
CUST100231,Male,0,No,No,35,Fiber optic,One year,58.19,2093.45,Electronic check,Yes,Yes,No,No
CUST100232,Female,1,No,Yes,61,DSL,Month-to-month,50.34,3067.95,Electronic check,No,No,No,No
CUST100233,Female,0,Yes,No,41,Fiber optic,Month-to-month,88.14,3732.09,Electronic check,No,No,Yes,No
CUST100234,Male,0,No,Yes,33,Fiber optic,Month-to-month,96.87,3100.83,Bank transfer,Yes,No,No internet,Yes
CUST100235,Male,0,Yes,Yes,68,DSL,One year,67.94,4751.96,Electronic check,Yes,No,No,No
CUST100236,Male,0,No,No,33,No,Month-to-month,99.67,3372.72,Electronic check,No,No,Yes,Yes
CUST100237,Male,0,No,Yes,14,Fiber optic,Two year,49.32,863.22,Credit card,Yes,Yes,Yes,No
CUST100238,Male,0,No,Yes,21,DSL,Month-to-month,44.9,821.37,Bank transfer,Yes,No,No internet,No
CUST100239,Female,0,No,No,48,DSL,Month-to-month,117.33,5603.74,Electronic check,Yes,Yes,No,No
CUST100240,Female,0,No,No,20,No,Month-to-month,86.78,1774.18,Electronic check,Yes,No,Yes,Yes
CUST100241,Male,0,No,No,8,Fiber optic,Month-to-month,106.92,876.01,Electronic check,Yes,No,No,No
CUST100242,Male,0,Yes,Yes,7,DSL,Month-to-month,50.65,319.99,Credit card,Yes,Yes,No,No
CUST100243,Male,1,Yes,No,67,No,One year,48.91,,Credit card,Yes,Yes,No,No
CUST100244,Male,0,Yes,Yes,17,Fiber optic,Month-to-month,63.03,1171.18,Credit card,Yes,Yes,Yes,No
CUST100245,Female,0,No,No,33,No,Month-to-month,51.4,1707.48,Credit card,Yes,No internet,No,Yes
CUST100246,Male,0,No,Yes,48,No,Month-to-month,89.63,4193.06,Mailed check,No,No,Yes,No
CUST100247,Male,0,Yes,No,59,No,One year,53.22,3304.36,Electronic check,No,No,Yes,Yes
